location,density_km2,density_mi2,population,land_area_km2,land_area_mi2
Panama,61,160,4515577,74180,28640
Norfolk Island(Australia),61,160,2188,36,14
Guinea,60,160,14754786,245720,94870
Liberia,58,150,5612817,96320,37190
Nicaragua,57,150,6916140,120340,46460
Cook Islands,57,150,13729,240,93
Iran,56,150,91567738,1622500,626500
Madagascar,55,140,31964956,581800,224600
Georgia,55,140,3807670,69490,26830
South Africa,53,140,64007187,1213090,468380
Fiji,51,130,928784,18270,7050
Djibouti,50,130,1168722,23180,8950
Turks and Caicos Islands(UK),49,130,46535,950,370
DR Congo,48,120,109276265,2267050,875310
Colombia,48,120,52886364,1109500,428400
Montenegro,47,120,638479,13450,5190
Lithuania,46,120,2859110,62604,24172
Belarus,45,120,9056696,202990,78370
Mozambique,44,110,34631766,786380,303620
Montserrat(UK),44,110,4389,100,39
Cocos (Keeling) Islands(Australia),43,110,602,14,5.4
Zimbabwe,43,110,16634373,386850,149360
Faroe Islands(Denmark),40,100,55400,1370,530
Bahamas,40,100,401283,10010,3860
Palau,38,98,17696,460,180
United States,38,98,345426571,9147420,3531840
Kyrgyzstan,37,96,7186009,191800,74100
Somaliland,35,91,4914100,167283,64588
Laos,34,88,7769819,230800,89100
Venezuela,32,83,28405543,882050,340560
Estonia,32,83,1360546,42730,16500
Angola,30,78,37885850,1246700,481400
Somalia,30,78,19009151,627340,242220
Latvia,30,78,1871872,62230,24030
Solomon Islands,29,75,819198,27990,10810
Eritrea,29,75,3535603,121040.83,46734.13
Zambia,29,75,21314956,743390,287020
Abkhazia,28,73,244000,8665,3346
Sudan,27,70,50448963,1868000,721000
Vanuatu,27,70,327778,12190,4710
Peru,27,70,34217848,1280000,490000
Chile,27,70,19764772,743532,287079
Sweden,26,67,10606999,407280,157250
Brazil,25,65,211998574,8358140,3227100
Saint Pierre and Miquelon(France),24,62,5628,230,89
Papua New Guinea,23,60,10576502,452860,174850
Niger,21,54,27032413,1266700,489100
Bhutan,21,54,791525,38140,14730
Mali,20,52,24478596,1220190,471120
New Zealand,20,52,5213944,263310,101660
land(Finland),20,52,30237,1583,611
Algeria,20,52,46814308,2381741,919595
Uruguay,19,49,3386588,175020,67580
South Sudan,19,49,11943409,631930,243990
Congo,19,49,6332961,341500,131900
Finland,18,47,5617311,303947.7,117354.9
Belize,18,47,417072,22810,8810
Paraguay,17,44,6929153,396012.04,152901.1
Oman,17,44,5281538,309500,119500
Argentina,17,44,45696159,2736690,1056640
Chad,16,41,20299123,1259200,486200
New Caledonia(France),16,41,292640,18280,7060
Turkmenistan,16,41,7494499,469930,181440
Saudi Arabia,16,41,33962757,2149690,830000
Norway,15,39,5576660,364270,140650
South Ossetia,14,36,56520,3900,1500
"Saint Helena, Ascension and Tristan da Cunha(UK)",13,34,5238,390,150
Christmas Island(Australia),13,34,1692,136,53
Bolivia,11,28,12413315,1083300,418300
Gabon,9.9,26,2538952,257670,99490
Russia,8.8,23,144820423,16376870,6323140
Central African Republic,8.6,22,5330690,622980,240530
Kazakhstan,7.6,20,20592571,2699700,1042400
Niue,7,18,1819,260,100
Mauritania,5,13,5169396,1030700,398000
Canada,4.5,12,39742430,8788700,3393300
Botswana,4.4,11,2521139,566730,218820
Guyana,4.2,11,831087,196850,76000
Libya,4.2,11,7381023,1759540,679360
Suriname,4,10,634431,160507.61,61972.33
Iceland,3.9,10,393396,100830,38930
Namibia,3.7,9.6,3030131,823290,317870
Australia,3.5,9.1,26713205,7692020,2969910
Mongolia,2.2,5.7,3475540,1557506.79,601356.73
Western Sahara,2.2,5.7,590506,266000,103000
Pitcairn Islands(UK),0.85,2.2,40,47,18
Falkland Islands(UK),0.29,0.75,3471,12170,4700
Greenland(Denmark),0.14,0.36,55840,410450,158480
